Global transction report,From 01-04-2026 to 20-09-2026
Name,Test User
UCC,XXXXXXXXXX
Mobile,0000000000
Email ID,test@example.com

Date,Scrip Name,Exchange,Bill No.,Buy Qty.,Buy Value,Sell Qty.,Sell Value,Brokerage,GST,STT,SEBI Fees,Stamp Duty,Txn. Charges,Oth. Charges,Gross Amount
"28 Apr 2026 00:00:00","OPT NIFTY 28 Apr 2026 24000 PE","NSE","2466821","1040","17108.00","1040","25584.00","60.00","13.54","38.00","0.04","1.00","15.17","0.00","8348.25"
"29 Apr 2026 00:00:00","OPT NIFTY 05 May 2026 24500 CE","NSE","2615147","1170","79872.00","1170","85540.00","100.00","28.61","128.00","0.17","2.00","58.77","0.00","5350.45"
"30 Apr 2026 00:00:00","OPT NIFTY 05 May 2026 23500 PE","NSE","2747136","975","56257.50","975","70638.75","60.00","18.94","105.56","0.13","1.44","45.09","0.00","14150.09"
"30 Apr 2026 00:00:00","OPT NIFTY 05 May 2026 23800 PE","NSE","2747136","130","18655.00","130","22295.00","60.00","13.43","33.44","0.04","0.56","14.55","0.00","3517.98"
"04 May 2026 00:00:00","OPT NIFTY 05 May 2026 24300 CE","NSE","2900173","1105","99417.50","1105","65103.95","100.00","28.55","98.00","0.16","3.00","58.45","0.00","-34601.71"
"06 May 2026 00:00:00","OPT NIFTY 12 May 2026 24950 CE","NSE","3200891","520","16454.78","0","0.00","20.00","4.66","0.00","0.02","0.99","5.85","0.00","-16486.29"
"06 May 2026 00:00:00","OPT SENSEX 07 May 2026 80000 CE","BSE","3200891","40","480.00","0","0.00","20.00","3.63","0.00","0.00","0.01","0.16","0.00","-503.80"
"07 May 2026 00:00:00","OPT SENSEX 07 May 2026 80000 CE","BSE","3348400","0","0.00","40","28.00","20.00","3.60","0.00","0.00","0.00","0.01","0.00","4.39"
"08 May 2026 00:00:00","OPT NIFTY 12 May 2026 24500 CE","NSE","3504606","520","28590.25","0","0.00","40.00","9.03","0.00","0.03","0.56","10.15","0.00","-28650.02"
"08 May 2026 00:00:00","OPT NIFTY 12 May 2026 24950 CE","NSE","3504606","1950","14820.00","0","0.00","40.00","8.15","0.00","0.01","0.44","5.27","0.00","-14873.87"
"11 May 2026 00:00:00","OPT NIFTY 12 May 2026 24200 CE","NSE","3648694","2275","71048.25","2275","66309.75","120.00","30.41","99.46","0.14","2.13","48.80","0.00","-5039.44"
"11 May 2026 00:00:00","OPT NIFTY 12 May 2026 24500 CE","NSE","3648694","0","0.00","520","4270.50","20.00","3.87","6.41","0.00","0.00","1.52","0.00","4238.69"
"11 May 2026 00:00:00","OPT NIFTY 12 May 2026 24950 CE","NSE","3648694","0","0.00","2470","5310.62","40.00","7.54","7.97","0.01","0.00","1.89","0.00","5253.21"
"11 May 2026 00:00:00","OPT NIFTY 12 May 2026 23700 PE","NSE","3648694","1040","48854.00","1040","56056.00","80.00","21.13","84.39","0.10","1.70","37.27","0.00","6977.41"
"11 May 2026 00:00:00","OPT SENSEX 14 May 2026 73900 PE","BSE","3648694","120","5634.00","120","7182.00","40.00","7.95","10.77","0.01","0.17","4.17","0.00","1484.92"
"12 May 2026 00:00:00","OPT NIFTY 12 May 2026 23750 CE","NSE","3802288","3250","67518.75","3250","650.00","140.00","29.57","0.98","0.07","2.03","24.22","0.00","-67065.62"
"12 May 2026 00:00:00","OPT NIFTY 12 May 2026 23600 PE","NSE","3802288","650","27365.00","650","28886.00","60.00","14.41","43.02","0.05","0.97","19.99","0.00","1382.56"
"13 May 2026 00:00:00","OPT SENSEX 14 May 2026 73600 PE","BSE","3961291","240","21423.00","240","18982.01","60.00","13.17","28.00","0.04","1.00","13.13","0.00","-2556.33"
"18 May 2026 00:00:00","OPT NIFTY 19 May 2026 23400 CE","NSE","4404817","130","16529.50","130","14729.00","40.00","9.21","22.00","0.03","1.00","11.11","0.00","-1883.85"
"19 May 2026 00:00:00","OPT NIFTY 19 May 2026 23650 CE","NSE","4548411","65130","21723.00","65130","17361.50","1180.00","214.91","26.04","0.04","0.65","13.89","0.00","-5797.02"
"19 May 2026 00:00:00","OPT NIFTY 19 May 2026 23750 CE","NSE","4548411","650","25155.00","650","24667.50","80.00","17.60","37.00","0.05","0.75","17.70","0.00","-640.60"
"19 May 2026 00:00:00","OPT NIFTY 19 May 2026 23550 PE","NSE","4548411","32435","19792.50","32435","8108.75","780.00","142.19","12.16","0.03","0.59","9.91","0.00","-12628.63"
"19 May 2026 00:00:00","OPT NIFTY 19 May 2026 23600 PE","NSE","4548411","13000","5850.00","13000","7712.25","320.00","58.47","11.57","0.01","0.18","4.82","0.00","1467.20"
"19 May 2026 00:00:00","OPT NIFTY 19 May 2026 23650 PE","NSE","4548411","1755","10442.25","1755","26149.50","40.00","9.55","39.10","0.04","0.34","13.00","0.00","15605.23"
"19 May 2026 00:00:00","OPT NIFTY 19 May 2026 23700 PE","NSE","4548411","520","15177.50","520","17706.00","40.00","9.31","26.56","0.03","0.46","11.68","0.00","2440.45"
"19 May 2026 00:00:00","OPT NIFTY 19 May 2026 23750 PE","NSE","4548411","715","34398.00","715","33712.25","120.00","25.97","50.57","0.07","1.03","24.20","0.00","-907.59"
"20 May 2026 00:00:00","OPT NIFTY 26 May 2026 23500 CE","NSE","4699001","130","27657.50","130","28122.25","80.00","17.98","42.09","0.05","0.60","19.82","0.00","304.21"
